Instance Name	Segment Store	Disk Space Utilization
bmwag-prod-author1eucentral1	146G	44%
dropbox-prod6-author1uswest1	80G	50%
pentland-prod3-author1ukwest	61G	38%
torrid-prod1-author1uswest2	59G	39%
orientaltrading-prod1-author1uswest1	48G	62%
viega-prod-author1westeurope	47G	53%
viega-prod-publish2westeurope	30G	58%
viega-prod-publish1westeurope	30G	58%
progressresidential-prod4-author1uswest1	29G	6%
kornferry-prod-publish1westus	28G	31%
griffithedu-prod2-author1apsoutheast2	28G	20%
fgh-prod-author1uksouth	27G	30%
avalara-prod5-author1uswest2	24G	35%
lundbeck-prod2-author1eucentral1	23G	31%
tju-prod1-author1useast1	22G	19%
duluthtrad-prod-author1northcentralus	21G	35%
dropbox-prod6-publish2uswest1	20G	58%
fortinet-prod5-author1uswest1	20G	57%
dropbox-prod6-publish1uswest1	20G	55%
generalmotors-prod1-author1useast1	20G	21%
vineyardvines-prod3-author1useast1	19G	44%
viessmann-prod-author1eucentral1	18G	16%
nvpuratos-prod3-author1northeurope	17G	24%
grupogenerali-prod-author1euwest1	17G	20%
brukerdalto-prod-author1germanywestcentral	17G	17%
ugieiris-prod1-author1eucentral1	17G	14%
hfma-prod3-publish2northcentralus	16G	60%
mcdonaldprom-prod-publish1westeurope	16G	46%
kornferry-prod-publish2westus	16G	25%
rrpowersystems-prod2-author1eucentral1	16G	18%
bruker-prod2-author1eucentral1	15G	75%
hillrom-prod1-author1eastus2	15G	24%
brauncorp-prod3-author1useast1	15G	19%
equinix-prod1-author1westus2	14G	43%
brauncorp-prod3-publish2useast1	14G	33%
brauncorp-prod3-publish1useast1	14G	33%
tju-prod1-publish1useast1	13G	67%
nuance-prod4-author1useast1	13G	27%
soloinvest-prod-author1francecentral	13G	3%
bmc-prod2-author1useast1	12G	52%
johnlewis-prod3-author1euwest1	12G	33%
virtusa-prod-publish2eastus2	12G	29%
maisobatta-prod1-author1francecentral	12G	8%
gruposantand-prod-author1northeurope	11G	83%
progressresidential-prod4-publish1uswest1	11G	47%
virtusa-prod-publish1eastus2	11G	29%
fsecure-prod1-author1euwest1	11G	15%
tescomobile-prod-publish2uksouth	9.6G	11%
tju-prod1-publish2useast1	9.5G	48%
tescomobile-prod-publish1uksouth	9.4G	11%
boltonadhesives-prod2-author1euwest1	9G	24%
entrustdata-prod1-author1eastus2	8.9G	37%
virtusa-prod-author1eastus2	8.9G	7%
centralgroup-prod-author1apsoutheast1	8.8G	16%
grupogenerali-prod-publish2euwest1	8.6G	12%
elkay-prod3-author1useast1	8.6G	9%
gruposantand-prod-publish2northeurope	8.5G	51%
gruposantand-prod-publish1northeurope	8.4G	51%
finning-prod-author1uksouth	8.3G	12%
sade-prod2-publish1apsoutheast2	8.1G	29%
tenethealth-prod1-author1southcentralus	8.1G	12%
grupogenerali-prod-publish1euwest1	8G	11%
aginsurance-prod3-publish1eucentral1	7.8G	37%
agilent-prod1-author1uswest2	7.6G	43%
equinix-prod1-publish2westus2	7.6G	29%
thoughtworks-prod-author1westeurope	7.6G	6%
moog-prod3-author1useast1	7.3G	49%
autonation-prod2-author1useast1	7.3G	31%
gap-prod-publish1westus	7.2G	43%
csmbakerysolutions-prod3-author1useast1	7.2G	14%
rbcom-prod-author1eucentral1	7.2G	11%
gap-prod-publish2westus	7.1G	43%
researchaffiliates-prod16-author1uswest1	7G	50%
southernco-prod1-author1useast1	6.9G	50%
adobeio-prod1-publish2useast1	6.9G	39%
adobeio-prod1-publish1useast1	6.6G	30%
tastecard-prod4-author1euwest2	6.6G	12%
nbugini-prod4-author1eucentral1	6.6G	11%
kornferry-prod-author1westus	6.6G	5%
viessmann-prod-publish2eucentral1	6.5G	59%
palladiumhotelgroup-prod1-publish1euwest1	6.4G	59%
viessmann-prod-publish1eucentral1	6.4G	57%
cfsgamservices-prod2-author1apsoutheast1	6.2G	54%
rrpowersystems-prod2-publish2eucentral1	6.2G	46%
aginsurance-prod3-publish2eucentral1	6.2G	37%
ncrcorporation-prod2-author1useast1	6.2G	19%
twentyfourhour-prod1-publish2uswest1	6G	27%
thoughtworks-prod-publish1westeurope	6G	15%
rrpowersystems-prod2-publish1eucentral1	5.9G	45%
averydennisoncorp-prod1-publish1useast1	5.8G	41%
twentyfourhour-prod1-publish1uswest1	5.8G	25%
lionbridge-prod2-author1eastus	5.8G	5%
fortinet-prod5-publish2uswest1	5.7G	48%
nskeuropeltd-prod1-author1eucentral1	5.6G	40%
boltonadhesives-prod2-publish1euwest1	5.6G	23%
uoc-prod4-author1australiaeast	5.5G	81%
hellyhansen-prod-publish1eastus	5.5G	28%
rbcom-prod-publish1eucentral1	5.4G	37%
appian-prod-author1useast1	5.3G	6%
progressresidential-prod4-publish2uswest1	5.2G	40%
hellyhansen-prod-publish2eastus	5.2G	23%
tods-prod3-author1eucentral1	5.2G	15%
verisuresarl-prod2-author1eucentral1	5.2G	14%
finning-prod-publish2uksouth	5.1G	70%
avalara-prod5-publish2uswest2	5.1G	67%
hfma-prod3-publish1northcentralus	5.1G	52%
gap-prod-author1westus	5.1G	43%
kemin-prod2-author1useast1	5.1G	7%
goodlife-prod-author1canadacentral	5.1G	7%
griffithedu-prod2-publish2apsoutheast2	5G	36%
renta-prod-publish1euwest1	4.9G	81%
lambweston-prod1-author1useast1	4.9G	9%
scotiabank-prod-author1canadaeast	4.9G	7%
jcpenney-prod1-author1useast1	4.9G	6%
tastecard-prod4-publish2euwest2	4.8G	58%
bruker-prod2-publish1eucentral1	4.8G	57%
averydennisoncorp-prod1-publish2useast1	4.8G	43%
fortinet-prod5-publish1uswest1	4.8G	41%
agilent-prod1-publish1uswest2	4.8G	36%
kemin-prod2-publish1useast1	4.8G	31%
axpo-prod1-author1westeurope	4.8G	9%
avalara-prod5-publish1uswest2	4.7G	81%
bruker-prod2-publish2eucentral1	4.7G	56%
elkay-prod3-publish1useast1	4.7G	37%
singlife-prod-author1apsoutheast1	4.7G	26%
merrillcorp-prod1-author1eastus	4.7G	11%
finning-prod-publish1uksouth	4.6G	65%
tastecard-prod4-publish1euwest2	4.6G	54%
agilent-prod1-publish2uswest2	4.6G	36%
griffithedu-prod2-publish1apsoutheast2	4.5G	59%
vizio-prod-author1westus2	4.5G	6%
coherent-prod1-author1uswest1	4.5G	6%
generalmotors-prod1-publish2useast1	4.4G	21%
thoughtworks-prod-publish2westeurope	4.4G	14%
southernco-prod1-publish2useast1	4.3G	35%
caaatlantic-prod1-publish1canadaeast	4.3G	32%
gigamon-prod3-author1uswest2	4.3G	11%
nswbc-prod-author1australiaeast	4.3G	7%
enelglobal-prod2-author1eucentral1	4.2G	52%
generalmotors-prod1-publish1useast1	4.2G	24%
blacksunplc-prod-author1euwest1	4.2G	9%
hellyhansen-prod-author1eastus	4.2G	7%
southernco-prod1-publish1useast1	4.1G	36%
johnlewis-prod3-publish1euwest1	3.9G	66%
centralgroup-prod-publish1apsoutheast1	3.9G	28%
aristonthermo-prod1-author1eucentral1	3.8G	92%
johnlewis-prod3-publish2euwest1	3.8G	64%
bmc-prod2-publish2useast1	3.7G	70%
bmc-prod2-publish1useast1	3.7G	70%
temasek-prod-author1southeastasia	3.7G	48%
caltex-prod7-publish1apsoutheast1	3.7G	29%
moteogroup-prod1-author1euwest1	3.7G	6%
nvpuratos-prod3-publish1northeurope	3.6G	43%
csmbakerysolutions-prod3-publish2useast1	3.6G	30%
centralgroup-prod-publish2apsoutheast1	3.6G	26%
cuna-prod-author1centralus	3.6G	7%
bevmo-prod-author1westus	3.6G	3%
telstra-prod12-author1apsoutheast2	3.5G	46%
nethys-prod-author1euwest1	3.5G	44%
elkay-prod3-publish2useast1	3.5G	38%
fsecure-prod1-publish2euwest1	3.5G	30%
nuance-prod4-publish2useast1	3.5G	16%
expedia-prod2-author1uswest2	3.5G	9%
uob-prod2-author1apsoutheast1	3.5G	5%
vizio-prod-publish2westus2	3.4G	17%
egopharm-prod7-author1apsoutheast2	3.4G	9%
renta-prod-publish2euwest1	3.3G	81%
cfsgamservices-prod2-publish2apsoutheast1	3.3G	49%
cfsgamservices-prod2-publish1apsoutheast1	3.3G	48%
fsecure-prod1-publish1euwest1	3.3G	30%
cir2-prod2-author1useast1	3.3G	7%
moog-prod3-publish2useast1	3.2G	48%
